2022-10-10 15:21:24 | INFO     | 0042 | >>>>开始进行杀进程回连压测>>>>
2022-10-10 15:21:24 | INFO     | 0043 | 总测试次数：10
2022-10-10 15:21:24 | INFO     | 0045 | 本次开始测试时间：2022-10-10 15:21:24
2022-10-10 15:21:27 | INFO     | 0052 | 我被关闭啦
2022-10-10 15:21:33 | INFO     | 0055 | 我又起来啦
2022-10-10 15:21:50 | INFO     | 0064 | 第1次：很快////已连接
2022-10-10 15:21:50 | INFO     | 0118 | 第1次结束
2022-10-10 15:21:50 | INFO     | 0120 | 0:00:16.938392
2022-10-10 15:21:53 | INFO     | 0052 | 我被关闭啦
2022-10-10 15:21:59 | INFO     | 0055 | 我又起来啦
2022-10-10 15:22:16 | INFO     | 0064 | 第2次：很快////已连接
2022-10-10 15:22:16 | INFO     | 0118 | 第2次结束
2022-10-10 15:22:16 | INFO     | 0120 | 0:00:16.848423
2022-10-10 15:22:19 | INFO     | 0052 | 我被关闭啦
2022-10-10 15:22:25 | INFO     | 0055 | 我又起来啦
2022-10-10 15:22:42 | INFO     | 0064 | 第3次：很快////已连接
2022-10-10 15:22:42 | INFO     | 0118 | 第3次结束
2022-10-10 15:22:42 | INFO     | 0120 | 0:00:16.901915
2022-10-10 15:22:45 | INFO     | 0052 | 我被关闭啦
2022-10-10 15:22:50 | INFO     | 0055 | 我又起来啦
2022-10-10 15:23:07 | INFO     | 0064 | 第4次：很快////已连接
2022-10-10 15:23:07 | INFO     | 0118 | 第4次结束
2022-10-10 15:23:07 | INFO     | 0120 | 0:00:16.882711
2022-10-10 15:23:11 | INFO     | 0052 | 我被关闭啦
2022-10-10 15:23:16 | INFO     | 0055 | 我又起来啦
2022-10-10 15:23:33 | INFO     | 0064 | 第5次：很快////已连接
2022-10-10 15:23:33 | INFO     | 0118 | 第5次结束
2022-10-10 15:23:33 | INFO     | 0120 | 0:00:16.893079
2022-10-10 15:23:36 | INFO     | 0052 | 我被关闭啦
2022-10-10 15:23:42 | INFO     | 0055 | 我又起来啦
2022-10-10 15:23:59 | INFO     | 0064 | 第6次：很快////已连接
2022-10-10 15:23:59 | INFO     | 0118 | 第6次结束
2022-10-10 15:23:59 | INFO     | 0120 | 0:00:16.900444
2022-10-10 15:24:02 | INFO     | 0052 | 我被关闭啦
2022-10-10 15:24:08 | INFO     | 0055 | 我又起来啦
2022-10-10 15:24:25 | INFO     | 0064 | 第7次：很快////已连接
2022-10-10 15:24:25 | INFO     | 0118 | 第7次结束
2022-10-10 15:24:25 | INFO     | 0120 | 0:00:16.925495
2022-10-10 15:24:28 | INFO     | 0052 | 我被关闭啦
2022-10-10 15:24:34 | INFO     | 0055 | 我又起来啦
2022-10-10 15:24:51 | INFO     | 0064 | 第8次：很快////已连接
2022-10-10 15:24:51 | INFO     | 0118 | 第8次结束
2022-10-10 15:24:51 | INFO     | 0120 | 0:00:16.897463
